ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
1,26,5,39,92221,1,1.7,1,0,0,0,0,0,0
2,57,37,86,92097,2,1.5,1,0,0,1,0,1,0
3,51,28,64,92801,2,3.2,3,0,0,0,0,0,1
4,42,18,61,93913,3,3.2,2,0,0,1,0,0,1
5,42,18,163,90728,4,2.5,1,0,0,0,0,0,0
6,60,35,135,94474,1,5.3,1,0,1,0,0,1,0
7,26,4,31,90725,1,0.9,1,0,0,0,0,1,0
8,53,29,46,93761,4,1.5,1,0,0,0,0,1,0
9,31,7,71,91222,3,1.3,2,0,0,0,0,0,0
10,27,6,140,95520,3,5.8,2,0,1,0,0,1,0
11,46,21,58,92002,1,1.0,3,180,0,0,1,1,0
12,65,45,78,90065,3,3.8,3,0,1,0,0,1,1
13,55,32,82,90622,2,2.4,3,0,0,0,0,1,0
14,56,31,139,92417,3,5.2,2,0,1,0,0,0,0
15,54,31,43,95950,1,2.1,2,0,0,0,0,1,1
16,57,32,71,91809,2,3.0,2,512,0,0,0,1,0
17,45,25,97,93092,3,3.2,1,126,0,0,0,1,0
18,28,5,39,94660,3,1.1,1,0,0,0,0,1,0
19,59,35,79,91437,4,2.4,3,0,0,1,0,1,0
20,42,19,73,94221,4,1.8,2,0,0,0,0,1,0
21,45,20,123,92567,1,6.3,1,178,0,0,0,1,0
22,39,17,115,95523,1,2.4,2,172,0,0,0,1,0
23,31,7,132,94224,2,3.7,1,0,0,1,0,0,0
24,63,41,89,91942,4,3.9,2,557,1,0,0,1,0
25,57,32,128,92805,2,3.3,1,0,1,0,0,1,1
26,51,31,44,95304,4,2.1,3,0,0,0,0,0,0
27,40,19,99,92300,1,2.0,2,0,0,0,0,1,0
28,59,39,51,93337,4,0.6,1,0,0,1,0,0,0
29,46,22,27,95304,1,1.0,3,440,0,0,0,0,0
30,42,21,43,90950,4,1.4,3,0,0,0,0,0,0
31,42,21,56,95216,4,2.8,3,0,0,0,0,1,1
32,32,7,48,95140,2,1.4,2,0,0,0,0,1,0
33,27,5,185,93359,2,2.9,1,0,1,0,0,0,0
34,47,27,90,91448,3,2.2,2,0,0,0,0,0,0
35,62,42,115,90874,3,3.1,3,570,1,1,0,0,0
36,25,4,46,94713,1,1.6,3,0,0,0,0,1,0
37,60,35,25,92329,1,0.5,2,277,0,0,0,1,1
38,59,36,200,93328,4,6.8,2,278,1,0,0,0,0
39,35,10,20,90557,4,1.0,1,0,0,1,1,1,0
40,50,29,44,93192,1,1.2,1,516,0,0,0,0,0
41,30,8,104,90426,4,4.0,1,464,0,0,0,0,0
42,56,36,57,93316,4,1.1,1,309,0,1,0,1,0
43,53,31,80,95218,4,3.6,2,0,0,0,0,1,0
44,38,15,39,96047,1,0.8,1,0,0,0,0,1,1
45,25,1,90,95239,3,3.2,2,0,0,1,0,1,0
46,65,43,32,93624,1,0.7,2,183,0,0,0,1,1
47,42,18,14,94605,1,0.2,1,299,0,0,0,0,1
48,62,39,52,90273,1,1.2,2,0,0,0,0,1,0
49,52,31,100,94235,2,1.9,1,185,0,0,1,1,0
50,57,32,50,95926,3,2.4,1,0,0,0,0,1,1
51,56,34,83,90939,1,1.8,3,204,0,0,0,1,0
52,31,11,186,91746,1,9.7,1,0,1,0,0,1,1
53,39,14,93,96158,2,2.9,1,228,0,0,0,0,1
54,43,18,87,92915,1,1.7,2,0,0,1,0,1,0
55,44,24,114,94486,4,3.1,1,0,0,0,0,0,1
56,24,0,72,95103,1,1.3,1,523,0,0,0,1,1
57,47,22,51,95928,2,2.4,3,0,0,0,0,0,1
58,29,5,129,90524,2,2.0,2,0,0,0,0,1,0
59,55,34,112,92220,1,5.4,2,0,1,0,0,1,1
60,53,30,44,91441,4,0.5,3,0,0,0,0,1,0
61,63,40,63,95046,1,1.4,1,408,0,0,0,0,0
62,55,32,94,95436,2,1.5,2,0,0,0,0,1,0
63,39,16,29,95387,3,1.2,1,508,0,0,0,1,1
64,65,42,94,90726,2,3.0,1,0,0,0,0,1,0
65,41,18,88,94159,2,4.5,3,0,1,0,0,0,0
66,37,13,35,93203,1,0.9,3,233,0,0,0,1,0
67,62,39,169,94496,2,2.0,1,0,0,0,0,1,1
68,39,19,59,91152,1,2.5,1,0,0,0,0,0,1
69,26,6,56,90801,2,2.0,1,308,0,0,0,1,1
70,43,18,118,92194,2,5.4,2,0,0,0,0,1,0
71,58,33,130,92189,2,3.7,1,0,0,0,0,1,0
72,31,8,40,94900,1,1.7,3,0,0,0,0,1,0
73,43,22,68,91184,4,1.2,1,0,1,1,0,0,0
74,28,4,24,95946,1,1.3,1,0,0,0,0,0,0
75,53,33,114,90106,1,2.0,3,0,0,0,0,0,0
76,43,21,73,93558,1,3.4,3,0,0,0,0,0,1
77,37,16,31,93286,4,0.6,1,0,0,0,0,1,0
78,32,12,48,92244,2,2.1,2,0,0,0,0,0,0
79,47,23,38,90691,2,1.8,3,0,0,0,0,1,0
80,52,29,46,90496,4,2.2,2,122,0,0,0,0,1
81,64,43,25,91714,1,0.8,2,0,0,0,0,1,0
82,42,19,148,92489,1,4.2,2,0,1,0,0,0,1
83,30,10,41,91180,1,1.9,3,0,0,0,0,0,0
84,59,37,75,95045,3,2.6,2,315,0,0,0,0,0
85,50,27,93,96033,4,3.4,1,0,0,0,0,0,0
86,53,31,130,94691,3,2.6,2,373,1,0,0,0,0
87,27,3,76,95127,4,2.2,3,0,0,0,0,1,0
88,36,15,64,92209,4,1.7,2,0,0,0,0,1,0
89,56,36,78,95339,2,3.0,1,0,0,0,0,1,0
90,59,36,40,91053,1,0.7,2,0,0,0,0,1,0
91,42,17,42,93730,1,1.2,2,0,0,0,0,1,0
92,58,36,63,93370,4,2.9,3,0,0,0,0,1,1
93,60,40,20,92965,3,0.7,1,0,0,0,0,0,1
94,40,15,51,95158,4,2.5,3,535,0,0,0,0,0
95,62,40,57,92091,3,1.1,2,500,0,0,0,1,0
96,35,14,187,93486,4,5.4,1,562,1,0,0,0,0
97,33,10,139,92868,4,4.4,2,58,0,0,0,0,0
98,53,32,93,93358,4,2.5,1,0,0,0,0,0,1
99,51,26,116,92128,4,4.6,3,0,1,0,0,1,1
100,29,8,42,94381,1,0.7,3,0,0,0,0,0,0
101,59,36,79,93665,3,2.6,1,0,1,1,0,1,0
102,31,8,108,90802,4,1.7,2,0,1,0,0,0,1
103,58,37,42,92742,2,1.6,3,0,0,0,0,0,1
104,23,1,32,93835,4,1.5,1,540,0,0,0,1,0
105,58,38,88,90595,2,1.0,3,0,0,0,0,1,0
106,57,34,34,90483,1,1.0,1,0,0,0,0,1,0
107,57,33,98,93369,3,3.1,1,0,0,0,0,1,0
108,52,27,129,90990,1,5.3,2,435,1,0,0,1,1
109,43,22,43,93536,2,0.6,1,0,0,0,0,0,0
110,54,33,45,90319,4,1.2,3,0,0,0,0,1,0
111,35,12,127,95298,1,5.6,2,0,1,0,0,1,0
112,57,33,76,93808,1,2.5,2,0,0,0,0,0,0
113,47,22,118,93928,4,5.0,2,0,0,0,0,0,0
114,43,23,65,95978,4,1.7,2,0,0,0,0,1,0
115,45,24,67,93873,2,3.3,3,0,0,0,0,0,1
116,48,27,75,90919,2,1.0,2,0,0,0,0,0,0
117,24,3,167,95577,4,2.3,3,0,1,0,0,1,1
118,29,7,113,92917,3,3.7,2,0,0,0,0,1,1
119,33,8,50,94159,4,1.5,1,331,0,0,0,0,0
120,28,8,82,95542,1,3.1,2,0,0,0,0,1,0
121,42,18,62,92934,3,1.2,2,0,1,0,0,1,1
122,52,29,56,95270,3,1.1,1,255,0,0,1,1,1
123,51,28,96,95903,1,4.1,1,0,0,0,0,0,0
124,43,19,86,92623,3,1.9,1,0,0,0,0,0,0
125,60,40,43,90159,1,1.8,1,0,0,0,0,0,0
126,47,23,75,94617,4,2.8,3,0,0,0,0,1,1
127,26,5,55,94976,3,0.7,3,467,0,0,0,0,0
128,56,33,93,90268,1,3.8,1,54,0,0,0,1,0
129,48,24,54,95912,3,2.6,3,0,0,0,0,0,1
130,50,27,68,94690,1,3.1,3,470,0,0,0,1,0
131,47,26,57,91199,4,0.6,3,0,0,0,0,0,1
132,47,25,27,94498,1,0.9,1,0,0,0,0,0,1
133,26,4,163,94265,3,8.1,1,320,1,0,0,0,0
134,47,27,75,93613,1,2.7,2,433,0,1,0,1,0
135,57,33,166,93532,1,3.7,3,0,1,0,0,1,0
136,36,16,77,90708,4,1.4,2,0,0,0,0,0,0
137,49,27,105,95819,2,4.2,2,0,0,0,0,1,0
138,24,1,52,91836,1,2.3,3,0,0,0,0,1,0
139,38,18,52,91788,3,2.6,3,260,0,0,0,1,0
140,42,17,73,91064,1,3.6,2,0,1,0,0,1,1
141,66,44,165,91241,3,4.1,3,0,1,0,0,1,1
142,32,12,44,90365,4,1.6,3,0,0,0,0,1,0
143,35,12,23,95138,3,0.3,1,0,0,1,0,1,1
144,40,17,125,95574,1,1.8,3,0,0,0,0,1,0
145,66,43,109,90329,1,1.4,1,0,0,0,0,0,0
146,60,36,59,91126,1,3.0,1,0,0,0,0,1,0
147,24,2,199,92751,3,3.3,3,0,1,0,0,0,0
148,33,9,204,91281,3,6.3,2,0,1,1,1,0,0
149,59,37,26,91239,3,0.7,2,0,0,0,0,1,0
150,25,2,51,94344,2,1.2,3,0,0,0,0,0,1
151,60,40,72,95450,1,2.4,1,375,0,0,0,1,0
152,35,12,92,91996,4,0.9,1,447,0,0,0,1,0
153,63,42,84,93222,3,2.2,1,0,0,0,0,1,0
154,35,11,75,92510,3,2.3,2,0,0,0,0,1,0
155,42,18,40,92324,1,1.8,1,0,0,0,0,0,0
156,52,27,98,90350,2,4.0,1,457,1,0,0,1,1
157,28,3,101,94384,2,4.7,3,280,1,0,0,1,0
158,47,27,121,95745,3,3.2,1,0,0,0,0,0,0
159,45,25,37,94707,4,0.6,2,0,0,0,0,1,1
160,57,32,66,96177,4,1.8,1,0,0,1,0,1,0
161,66,44,57,95085,3,2.9,2,0,0,0,0,1,0
162,52,32,37,92283,2,0.7,2,0,0,0,0,1,1
163,41,20,66,95095,2,1.2,2,0,0,0,0,1,0
164,40,15,42,91336,3,2.1,1,0,0,0,0,1,0
165,41,19,34,92478,2,1.7,1,0,0,0,0,1,1
166,58,38,110,94375,2,1.8,1,269,1,0,0,1,0
167,37,13,58,91786,4,2.5,1,0,1,1,0,1,0
168,30,9,50,94697,3,1.4,2,355,0,0,0,1,1
169,37,15,136,91151,2,4.3,1,0,1,0,1,1,0
170,23,3,102,90952,3,3.2,1,0,0,0,0,1,0
171,27,4,22,94670,2,1.1,1,0,0,0,1,1,0
172,26,4,92,93018,1,1.7,3,0,0,0,0,0,0
173,56,31,92,95790,4,4.0,2,0,0,0,0,1,0
174,54,32,64,91212,2,0.7,2,187,0,1,0,1,1
175,53,32,63,94432,2,2.3,2,0,0,0,0,1,0
176,43,23,29,91449,1,1.1,1,0,0,0,0,1,0
177,54,33,198,92932,4,8.4,1,0,1,0,0,0,0
178,30,8,65,93061,3,3.3,1,374,1,0,0,0,0
179,62,42,89,95261,2,3.8,2,0,0,0,0,1,0
180,45,23,67,92477,3,2.8,1,0,0,1,0,1,1
181,64,39,50,92252,2,1.0,1,0,0,0,0,1,0
182,29,5,114,92945,2,6.0,3,0,1,0,0,0,0
183,44,21,81,96062,2,2.5,3,0,0,1,0,0,0
184,53,28,66,92382,1,1.9,1,0,0,0,0,0,0
185,44,20,89,93405,4,2.8,3,0,0,1,0,1,0
186,42,19,71,90453,4,1.9,1,196,0,0,0,1,1
187,30,5,172,93741,4,6.1,1,0,1,0,0,1,0
188,39,19,112,90472,2,2.8,1,457,0,0,0,1,1
189,33,9,97,90092,4,2.0,3,0,0,0,0,0,1
190,36,15,31,91624,2,1.6,1,0,0,0,0,1,0
191,53,29,98,91180,4,4.9,3,0,1,0,0,0,0
192,50,25,97,93242,1,3.1,2,0,0,1,0,1,0
193,49,27,42,91293,2,2.2,2,0,0,0,0,1,0
194,38,18,30,91320,3,0.8,1,288,0,0,0,0,0
195,65,43,110,95510,4,2.9,1,528,0,0,0,1,1
196,26,4,117,93878,2,5.8,3,224,1,0,0,1,0
197,38,13,52,90067,2,1.9,1,0,0,1,0,1,1
198,28,3,51,94722,4,2.2,2,0,0,0,0,1,0
199,37,14,80,94486,2,2.2,1,0,0,0,0,1,0
200,65,40,58,95531,3,1.6,3,577,0,0,0,0,1
201,39,17,30,93347,2,0.4,2,437,0,0,0,0,1
202,62,40,42,95850,1,2.2,2,288,0,0,0,0,1
203,44,19,88,95829,2,1.7,2,0,0,0,0,1,0
204,53,29,43,92261,3,1.4,1,0,0,0,0,1,0
205,43,20,120,90495,1,1.8,1,90,0,0,0,0,0
206,34,12,96,95846,1,3.7,1,0,0,1,0,1,0
207,56,32,89,94059,4,2.4,2,245,1,0,0,1,0
208,65,41,79,95427,1,3.4,1,0,0,0,0,1,0
209,34,12,49,90464,1,1.6,1,0,0,0,0,1,0
210,57,37,103,91957,3,1.6,1,0,0,0,0,1,0
211,34,14,48,90004,3,0.5,1,410,0,0,0,1,0
212,54,34,124,92293,1,2.4,2,302,0,0,0,0,0
213,57,35,157,94665,1,6.5,2,506,1,0,0,1,1
214,42,19,80,91041,4,3.7,2,0,1,1,1,1,0
215,55,31,146,92323,3,3.6,1,0,1,0,0,1,0
216,34,13,42,95388,3,1.4,2,0,0,0,0,0,1
217,26,2,97,91890,1,2.0,2,0,0,0,0,1,1
218,27,4,74,93282,1,3.6,3,446,0,0,0,0,0
219,42,22,111,92703,1,5.8,3,0,1,0,0,1,0
220,62,40,23,91276,4,1.0,3,0,0,0,0,1,0
221,28,7,107,95759,4,1.5,3,0,0,0,0,1,0
222,43,18,51,95018,3,1.5,3,0,0,0,0,1,0
